ID;Vertice;N;E
404;F99-P-1546;8148868,45;674431,35
405;F99-P-1547;8148892,49;674437,69
406;F99-P-1548;8148914,16;674433,23
407;F99-P-1549;8148941,94;674400,04
408;F99-P-1550;8148967,93;674384,94
409;F99-P-1551;8148976,99;674366,18
410;F99-P-1552;8148968,24;674350,16
411;F99-P-1553;8148936,36;674335,65
412;F99-P-1554;8148917,75;674300,84
413;F99-P-1555;8148913,98;674264,55
414;F99-P-1556;8148919,35;674240,07
415;F99-P-1557;8148927,98;674229,04
416;F99-P-1558;8148951,22;674240,14
417;F99-P-1559;8148973,60;674249,66
418;F99-P-1560;8148992,38;674271,83
419;F99-P-1561;8149006,62;674280,90
420;F99-P-1562;8149014,76;674281,54
421;F99-P-1563;8149029,48;674273,46
422;F99-P-1564;8149033,64;674250,59
423;F99-P-1565;8149051,71;674231,45
424;F99-P-1566;8149061,76;674229,41
425;F99-P-1567;8149102,70;674247,51
426;F99-P-1568;8149128,69;674232,91
427;F99-P-1569;8149146,59;674258,80
428;F99-P-1570;8149172,60;674279,82
429;F99-P-1571;8149175,70;674312,84
430;F99-P-1572;8149112,86;674352,58
431;F99-P-1573;8149068,27;674421,53
432;F99-P-1574;8149073,01;674457,36
433;F99-P-1575;8149089,68;674481,51
434;F99-P-1576;8149123,86;674477,34
435;F99-P-1577;8149138,82;674471,64
436;F99-P-1578;8149158,27;674480,88
437;F99-P-1579;8149168,27;674507,55
438;F99-P-1580;8149156,36;674537,49
439;F99-P-1581;8149128,95;674544,73
440;F99-P-1582;8149115,04;674539,33
441;F99-P-1583;8149086,55;674541,57
442;F99-P-1584;8149002,75;674594,59
443;F99-P-1585;8148994,63;674608,81
444;F99-P-1586;8149001,64;674623,66
445;F99-P-1587;8149014,40;674642,41
446;F99-P-1588;8149053,86;674637,98
447;F99-P-1589;8149104,93;674657,39
448;F99-P-1590;8149126,43;674656,75
449;F99-P-1591;8149140,99;674667,98
450;F99-P-1592;8149139,91;674688,71
451;F99-P-1593;8149124,48;674736,01
452;F99-P-1594;8149132,96;674747,87
453;F99-P-1595;8149166,02;674761,53
454;F99-P-1596;8149224,67;674786,06
455;F99-P-1597;8149260,45;674781,30
456;F99-P-1598;8149301,79;674730,67
457;F99-P-1599;8149321,95;674706,38
458;F99-P-1600;8149355,92;674705,44
459;F99-P-1601;8149375,53;674718,67
460;F99-P-1602;8149374,51;674751,09
461;F99-P-1603;8149368,62;674775,23
462;F99-P-1604;8149411,75;674815,40
463;F99-P-1605;8149474,74;674797,81
464;F99-P-1606;8149506,47;674783,87
465;F99-P-1607;8149540,42;674737,09
466;F99-P-1608;8149549,66;674719,53
467;F99-P-1609;8149578,60;674706,08
468;F99-P-1610;8149610,71;674648,35
469;F99-P-1611;8149697,88;674624,81
470;F99-P-1612;8149727,03;674642,60
471;F99-P-1613;8149722,37;674676,33
472;F99-P-1614;8149735,01;674711,26
473;F99-P-1615;8149754,31;674713,55
474;F99-P-1616;8149772,43;674710,50
475;F99-P-1617;8149781,04;674686,99
476;F99-P-1618;8149804,09;674655,72
477;F99-P-1619;8149847,05;674668,34
478;F99-P-1620;8149866,94;674669,35
479;F99-P-1621;8149879,76;674664,08
480;F99-P-1622;8149908,81;674682,57
481;F99-P-1623;8149952,72;674656,14
482;F99-P-1624;8149982,54;674642,56
483;F99-P-1625;8150039,73;674652,36
484;F99-P-1626;8150067,49;674655,11
485;F99-P-1627;8150098,01;674634,23
486;F99-P-1628;8150114,22;674609,11
487;F99-P-1629;8150144,66;674601,21
488;F99-P-1630;8150180,91;674606,27
489;F99-P-1631;8150169,04;674698,16
490;F99-P-1632;8150144,30;674721,98
491;F99-P-1633;8150084,70;674778,03
492;F99-P-1634;8150055,07;674840,97
493;F99-P-1635;8150021,96;674878,49
494;F99-P-1636;8150010,21;674904,44
495;F99-P-1637;8150035,75;674926,06
496;F99-P-1638;8150071,95;674940,89
497;F99-P-1639;8150099,40;674938,00
498;F99-P-1640;8150115,79;674918,79
499;F99-P-1641;8150177,37;674901,30
500;F99-P-1642;8150208,51;674900,11
501;F99-P-1643;8150226,49;674912,87
502;F99-P-1644;8150238,09;674934,80
503;F99-P-1645;8150241,54;674972,65
504;F99-P-1646;8150251,79;674996,68
505;F99-P-1647;8150287,87;675036,14
506;F99-P-1648;8150395,17;675031,79
507;F99-P-1649;8150428,46;675109,33
508;F99-P-1650;8150470,83;675168,13
509;F99-P-1651;8150521,30;675248,16
510;F99-P-1652;8150547,05;675290,65
511;F99-P-1653;8150588,31;675315,27
512;F99-P-1654;8150630,14;675321,46
513;F99-P-1655;8150668,40;675322,95
514;F99-P-1656;8150698,92;675333,80
515;F99-P-1657;8150749,40;675357,95
516;F99-P-1658;8150780,09;675358,96
517;F99-P-1659;8150858,42;675325,73
518;F99-P-1660;8150886,04;675315,97
519;F99-P-1661;8150925,68;675309,03
520;F99-P-1662;8151014,41;675334,22
521;F99-P-1663;8151081,94;675336,22
522;F99-P-1664;8151119,66;675336,11
523;F99-P-1665;8151143,41;675326,84
524;F99-P-1666;8151202,73;675305,87
525;F99-P-1667;8151279,95;675294,89
526;F99-P-1668;8151332,14;675295,07
527;F99-P-1669;8151363,24;675307,88
528;F99-P-1670;8151359,13;675328,83
529;F99-P-1671;8151364,41;675359,49
530;F99-P-1672;8151342,70;675415,25
531;F99-P-1673;8151348,85;675451,44
532;F99-P-1674;8151368,15;675508,44
533;F99-P-1675;8151398,69;675586,72
534;F99-P-1676;8151409,29;675622,10
535;F99-P-1677;8151416,03;675661,37
536;F99-P-1678;8151412,88;675720,93
537;F99-P-1679;8151397,60;675784,92
538;F99-P-1680;8151398,01;675824,14
539;F99-P-1681;8151412,22;675845,33
540;F99-P-1682;8151440,30;675869,08
541;F99-P-1683;8151460,95;675876,07
542;F99-P-1684;8151481,32;675864,07
543;F99-P-1685;8151500,48;675823,87
544;F99-P-1686;8151518,00;675781,80
545;F99-P-1687;8151538,45;675764,99
546;F99-P-1688;8151588,56;675754,31
547;F99-P-1689;8151629,26;675766,44
548;F99-P-1690;8151671,19;675792,90
549;F99-P-1691;8151691,81;675824,38
550;F99-P-1692;8151695,49;675849,91
551;F99-P-1693;8151666,36;675862,81
552;F99-P-1694;8151657,49;675888,65
553;F99-P-1695;8151666,57;675904,41
554;F99-P-1696;8151691,47;675902,97
555;F99-P-1697;8151742,11;675957,03
556;F99-P-1698;8151774,38;675963,81
557;F99-P-1699;8151796,22;675945,96
558;F99-P-1700;8151779,87;675927,85
559;F99-P-1701;8151761,88;675923,29
560;F99-P-1702;8151776,02;675887,96
561;F99-P-1703;8151816,18;675865,92
562;F99-P-1704;8151839,63;675881,46
563;F99-P-1705;8151861,31;675900,33
564;F99-P-1706;8151918,23;675910,24
565;F99-P-1707;8151934,75;675924,87
566;F99-P-1708;8151937,23;675942,01
567;F99-P-1709;8151954,31;675953,40
568;F99-P-1710;8151976,74;675930,84
569;F99-P-1711;8151965,38;675915,39
570;F99-P-1712;8151950,77;675913,45
571;F99-P-1713;8151932,32;675896,11
572;F99-P-1714;8151915,60;675835,48
573;F99-P-1715;8151922,05;675812,93
574;F99-P-1716;8151953,00;675809,42
575;F99-P-1717;8151972,04;675825,23
576;F99-P-1718;8152056,00;675797,63
577;F99-P-1719;8152077,54;675782,20
578;F99-P-1720;8152112,73;675794,17
579;F99-P-1721;8152112,30;675824,70
580;F99-P-1722;8152103,52;675848,05
581;F99-P-1133;8152112,79;675863,03
